x_value,total_1,total_2
0,1000,1000
1,1002,998
2,999,999
3,1005,994
4,1003,996
5,1009,996
6,1007,993
7,1014,993
8,1020,988
9,1024,993
10,1031,990
11,1026,991
12,1023,988
13,1030,992
14,1025,997
15,1025,994
16,1031,992
17,1033,996
18,1037,1001
19,1042,1005
20,1040,1009
21,1048,1008
22,1054,1011
23,1052,1009
24,1051,1010
25,1049,1009
26,1054,1006
27,1049,1006
28,1044,1006
29,1050,1010
30,1051,1010
31,1058,1007
32,1052,1007
33,1058,1004
34,1060,1008
35,1063,1014
36,1066,1009
37,1061,1015
38,1055,1016
39,1060,1018
40,1066,1019
41,1071,1025
42,1069,1025
43,1077,1028
44,1072,1024
45,1075,1022
46,1072,1017
47,1078,1021
48,1080,1017
49,1078,1014
50,1072,1011
51,1078,1013
52,1073,1015
53,1073,1021
54,1078,1027
55,1079,1026
56,1073,1030
57,1075,1027
58,1082,1032
59,1084,1037
60,1078,1042
61,1073,1042
62,1076,1048
63,1075,1050
64,1070,1048
65,1076,1044
66,1074,1044
67,1076,1043
68,1071,1044
69,1077,1045
70,1081,1042
71,1086,1048
72,1085,1047
73,1088,1049
74,1085,1046
75,1081,1048
76,1086,1046
77,1093,1044
78,1100,1046
79,1108,1052
80,1113,1057
81,1111,1054
82,1107,1051
83,1106,1053
84,1113,1052
85,1118,1053
86,1122,1057
87,1129,1062
88,1137,1067
89,1143,1071
90,1139,1075
91,1147,1070
92,1145,1073
93,1152,1068
94,1147,1074
95,1155,1074
96,1156,1072
97,1157,1077
98,1155,1076
99,1158,1080
100,1164,1080
101,1165,1082
102,1162,1080
103,1162,1082
104,1157,1080
105,1164,1081
106,1171,1079
107,1172,1081
108,1169,1076
109,1172,1075
110,1178,1081
111,1176,1084
112,1173,1084
113,1180,1090
114,1180,1089
115,1188,1092
116,1192,1094
117,1196,1092
118,1196,1087
119,1192,1092
120,1192,1089
121,1199,1095
122,1198,1097
123,1199,1097
124,1201,1098
125,1195,1097
126,1195,1097
127,1189,1097
128,1191,1099
129,1185,1103
130,1189,1103
131,1189,1098
132,1197,1094
133,1192,1096
134,1194,1098
135,1194,1095
136,1200,1095
137,1194,1090
138,1192,1093
139,1189,1093
140,1197,1091
141,1197,1090
142,1191,1085
143,1194,1083
144,1195,1088
145,1201,1088
146,1202,1087
147,1204,1086
148,1205,1084
149,1199,1081
150,1203,1077
151,1202,1077
152,1203,1074
153,1205,1079
154,1211,1080
155,1218,1077
156,1214,1075
157,1208,1076
158,1212,1081
159,1218,1083
160,1218,1089
161,1218,1086
162,1217,1084
163,1224,1089
164,1222,1089
165,1229,1093
166,1234,1089
167,1234,1092
168,1237,1087
169,1244,1085
170,1240,1083
171,1239,1089
172,1245,1092
173,1250,1089
174,1258,1089
175,1261,1094
176,1266,1095
177,1269,1095
178,1267,1094
179,1273,1098
180,1277,1095
181,1280,1097
182,1284,1095
183,1278,1090
184,1280,1094
185,1284,1094
186,1291,1100
187,1290,1106
188,1294,1111
189,1296,1111
190,1297,1116
191,1296,1118
192,1298,1117
193,1298,1114
194,1298,1115
195,1294,1121
196,1294,1118
197,1296,1122
198,1290,1123
199,1288,1122
200,1295,1121
201,1299,1118
202,1305,1122
203,1302,1123
204,1296,1118
205,1290,1120
206,1297,1126
207,1294,1130
208,1297,1125
209,1305,1120
210,1303,1119
211,1298,1119
212,1303,1117
213,1299,1122
214,1293,1124
215,1293,1127
216,1299,1131
217,1300,1131
218,1295,1127
219,1289,1129
220,1292,1133
221,1299,1136
222,1305,1138
223,1300,1141
224,1296,1140
225,1290,1142
226,1284,1139
227,1282,1138
228,1290,1142
229,1291,1140
230,1290,1136
231,1291,1137
232,1293,1137
233,1289,1137
234,1290,1137
235,1292,1140
236,1298,1136
237,1292,1133
238,1295,1135
239,1297,1132
240,1291,1133
241,1299,1130
242,1307,1133
243,1312,1131
244,1309,1129
245,1315,1130
246,1309,1130
247,1309,1130
248,1313,1129
249,1319,1133
250,1322,1138
251,1327,1136
252,1334,1139
253,1338,1141
