x_value,total_1,total_2
0,1000,1000
1,1008,1000
2,1006,1002
3,1011,999
4,1010,1005
5,1018,1005
6,1019,1001
7,1016,1003
8,1010,1008
9,1014,1005
10,1013,1011
11,1020,1009
12,1020,1014
13,1028,1016
14,1033,1022
15,1031,1024
16,1028,1022
17,1027,1019
18,1025,1018
19,1028,1017
20,1024,1021
21,1022,1017
22,1018,1013
23,1020,1012
24,1022,1014
25,1028,1020
26,1030,1020
27,1031,1022
28,1037,1024
29,1034,1021
30,1035,1024
31,1030,1022
32,1027,1020
33,1022,1025
34,1027,1027
35,1024,1029
36,1025,1024
37,1031,1024
38,1035,1023
39,1029,1018
40,1029,1021
41,1031,1023
42,1034,1028
43,1034,1030
44,1041,1034
45,1044,1036
46,1041,1037
47,1037,1032
48,1033,1033
49,1034,1037
50,1034,1042
51,1039,1047
52,1044,1052
53,1047,1052
54,1047,1054
55,1054,1058
56,1060,1061
57,1062,1064
58,1060,1065
59,1061,1060
60,1069,1057
61,1068,1058
62,1067,1062
63,1061,1064
64,1055,1062
65,1061,1066
66,1061,1069
67,1062,1069
68,1058,1069
69,1053,1073
70,1061,1072
71,1065,1076
72,1064,1073
73,1059,1079
74,1061,1079
75,1061,1084
76,1062,1087
77,1069,1093
78,1077,1098
79,1079,1093
80,1074,1092
81,1076,1092
82,1083,1091
83,1079,1097
84,1085,1101
85,1081,1102
86,1082,1107
87,1077,1113
88,1080,1117
89,1086,1118
90,1091,1121
91,1091,1123
92,1086,1119
93,1089,1117
94,1096,1114
95,1103,1111
96,1098,1108
97,1097,1106
98,1096,1109
99,1098,1106
100,1102,1107
101,1108,1110
102,1109,1106
103,1112,1107
104,1120,1113
105,1128,1119
106,1122,1116
107,1119,1111
108,1117,1114
109,1120,1111
110,1119,1115
111,1117,1116
112,1124,1117
113,1130,1113
114,1126,1115
115,1127,1116
116,1122,1112
117,1119,1116
118,1127,1117
119,1128,1120
120,1134,1123
121,1142,1127
122,1149,1129
123,1154,1129
124,1159,1135
125,1157,1133
126,1157,1134
127,1161,1131
128,1157,1128
129,1163,1128
130,1159,1128
131,1167,1127
132,1162,1125
133,1159,1130
134,1158,1131
135,1153,1134
136,1149,1131
137,1155,1127
138,1158,1130
139,1160,1126
140,1164,1128
141,1171,1127
142,1172,1126
143,1176,1125
144,1175,1129
145,1176,1127
146,1180,1125
147,1184,1121
148,1186,1120
149,1184,1124
150,1187,1125
151,1185,1128
152,1191,1133
153,1187,1135
154,1189,1140
155,1188,1145
156,1182,1147
157,1187,1148
158,1188,1149
159,1191,1145
160,1198,1149
161,1199,1152
162,1197,1158
